Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C8, C9",0805,5,22µF,C602037
C10,0603,1,1µF,C15849
"C11, C14",0603,2,100nF,C1591
C12,0805,1,10u,C15850
C13,0603,1,4µ7 (1mOhm ESR),C1705
C15,0603,1,47pF,C1671
C4,0805,1,4n7,C1744
"C5, C6",0603,2,1n,C1588
D1,SOT143B,1,"PRTR5V0U2AX,215",C455074
D3,XZCCBDMEDGK161W,1,LED_RGBA,C6938384
"D4, D5",DO-219AC,2,DIODE,C5828742
F1,1812L110-33,1,LF110-33,C142747
FL1,0603,1,BLM18EG101TN1D,C76893
IC1,TSOT23-6,1,AP63300,C2158012
IC2,SOT95P285X140-5N,1,AP2112K-3.3TRG1,C51118
J1,CONN16X1_GT-USB-7025_GSW,1,GT-USB-7025,C963213
J10,10PIN_SPRING_HEADER,1,10PIN_HEADER,
J11,HOLE_2x5,1,10PIN_HEADER,
J15,12PIN_SERVO_HEADER,1,12PIN_SERVO_HEADER,
J2,2337019-1 µCOAX,1,Conn_Coaxial,C434807
"J3, J4, J5, J6",1987724,4,1987724,
J7,PinSocket_1x03_P2.54mm_Vertical,1,3PIN_HEADER,
J8,15PIN_HEADER,1,15PIN_HEADER,
J9,10PIN_1.27PITCH,1,10PIN_HEADER,C5357940
L1,SL0630-6R8M,1,6µ8,C22463822
LED1,0805,1,LTST-C170GKT,C125090
NINA1,NINA-B301-00B,1,~,C5802697
"Q1, Q3, Q4",SOT-23-3,3,BSS138K-13,C5248642
"Q2, Q5",US6_RN2903,2,RN2903,C23066030
Q6,BSS138,1,BSS159NH6327XTSA2,C22367169
Q7,si7469dp,1,Si7469DP,C467910
R1,0603,1,1M,C22935
R10,0603,1,50k,C861451
"R11, R9",0603,2,100k,C25803
R12,0603,1,0,C2906974
R13,0603,1,5.1k,C23186
R14,0603,1,560,C23204
"R15, R16, R17",0603,3,470k,C23178
R18,0603,1,5.1k,
R19,0603,1,158k,C861139
"R2, R6",0603,2,330,C23138
R20,0603,1,30.1k,C2989442
"R3, R5, R7, R8",0603,4,7k32,C861563
R4,0603,1,750,C2907066
SW1,TL3340,1,TL3340,C2886925
"TP1, TP2, TP3, TP4, TP5",TestPoint_Pad_D1.5mm,5,TestPoint,
"TP6, TP7, TP8",TestPoint_THTPad_D1.5mm_Drill0.7mm,3,TestPoint,
"U1, U2",TSOT-23-5,2,LTC4411ES5-TRMPBF,C459901
"U3, U4",VSSOP-8_2.3x2mm_P0.5mm,2,TXB0102DCU,C60709
