Designator,Mid X,Mid Y,Rotation,Layer
C1,5.1,-15.3,90.0,top
C10,3.8125,-2.605,270.0,top
C11,2.925,27.424,90.0,top
C12,-1.014,8.269,270.0,top
C13,-7.874,-0.254,90.0,top
C14,0.475,-12.4,0.0,top
C15,-2.8,-13.3,0.0,top
C2,7.132,-15.3,90.0,top
C3,9.164,-15.3,90.0,top
C4,-25.4,-9.652,0.0,top
C5,-18.923,-8.636,270.0,top
C6,-17.399,-8.636,270.0,top
C8,-8.95,-15.5,180.0,top
C9,-8.95,-13.468,180.0,top
D1,-21.971,-5.334,90.0,top
D3,-34.417,2.032,87.0,top
D4,2.204,8.269,180.0,top
D5,5.379,12.079,270.0,top
F1,-4.6,7.0,90.0,top
FL1,-18.161,-6.35,0.0,top
IC1,1.2,-15.2,0.0,top
IC2,0.6885,-2.732,0.0,top
J1,-31.191741829295093,-5.098465768155088,279.0,top
J10,12.7,0.0,90.0,top
J11,0.0,-21.717,0.0,top
J15,27.2796,32.1564,47.87,top
J2,-3.6,30.9988,0.0,top
J3,18.0,40.4,155.828,top
J4,6.2,43.8,171.943,top
J5,-6.2,43.8,188.057,top
J6,-18.0,40.4,204.171,top
J7,32.012477095682314,27.861305920809972,317.87,top
J8,-27.94,30.913857,132.13,top
J9,5.425,22.724,0.0,top
L1,1.8,-8.1,180.0,top
LED1,-7.874,5.588,270.0,top
NINA1,-3.6,23.2,180.0,top
Q1,-17.526,3.683,0.0,top
Q2,10.16,31.496,90.0,top
Q3,-20.828,5.461,180.0,top
Q4,-17.526,7.239,0.0,top
Q5,10.16,34.544,90.0,top
Q6,2.204,11.444,90.0,top
Q7,9.3,9.3,270.0,top
R1,-25.4,-7.874,0.0,top
R10,3.474,4.459,0.0,top
R11,2.204,6.364,180.0,top
R12,20.3,-4.0,180.0,top
R13,-28.0,2.0,90.0,top
R14,-7.874,8.89,90.0,top
R15,-7.874,-8.636,0.0,top
R16,-9.779,-2.7995,180.0,top
R17,-5.969,-2.7995,180.0,top
R19,-2.8,-14.9,0.0,top
R2,-25.4,3.937,0.0,top
R20,-2.8,-16.4,180.0,top
R3,6.858,30.734,180.0,top
R4,-25.4,5.461,0.0,top
R5,6.858,32.258,180.0,top
R6,-25.4,6.985,0.0,top
R7,6.858,33.782,180.0,top
R8,6.858,35.306,180.0,top
R9,0.299,4.459,0.0,top
SW1,-32.238277859889926,7.0808132463773354,258.0,top
U1,-5.969,-5.7205,270.0,top
U2,-9.779,-5.715,270.0,top
U3,15.367,29.083,90.0,top
U4,18.542,27.686,90.0,top
